tarih,deger=ton
2004-12-31,0
2005-12-31,46585000
2006-12-31,86852000
2007-12-31,87833000
2008-12-31,88355000
2009-12-31,90128000
2010-12-31,95224000
2011-12-31,101952000
2012-12-31,111035000
2013-01-01,43020000000
2013-02-01,37015000000
2013-03-01,32500000000
2013-04-01,33730000000
2013-05-01,32095000000
2013-06-01,30725000000
2013-07-01,18460000000
2013-08-01,38675000000
2013-09-01,37405000000
2013-10-01,37685000000
2013-11-01,31865000000
2013-12-01,31675000000
2013-01-13,34925000000
2013-01-14,19375000000
2013-01-15,38900000000
2013-01-16,33675000000
2013-01-17,28370000000
2013-01-18,28525000000
2013-01-19,26550000000
2013-01-20,30880000000
2013-01-21,20095000000
2013-01-22,40335000000
2013-01-23,32615000000
2013-01-24,34270000000
2013-01-25,32080000000
2013-01-26,29770000000
2013-01-27,26305000000
2013-01-28,19880000000
2013-01-29,43235000000
2013-01-30,21885000000
2013-01-31,20650000000
2013-01-02,31910000000
2013-02-02,27820000000
2013-03-02,29685000000
2013-04-02,17255000000
2013-05-02,35580000000
2013-06-02,30555000000
2013-07-02,36185000000
2013-08-02,32605000000
2013-09-02,29880000000
2013-10-02,30525000000
2013-11-02,18815000000
2013-12-02,35895000000
2013-02-13,39150000000
2013-02-14,36320000000
2013-02-15,31335000000
2013-02-16,28050000000
2013-02-17,29135000000
2013-02-18,16160000000
2013-02-19,40050000000
2013-02-20,37940000000
2013-02-21,32650000000
2013-02-22,34530000000
2013-02-23,31335000000
2013-02-24,31015000000
2013-02-25,35600000000
2013-02-26,37650000000
2013-02-27,45755000000
2013-02-28,24575000000
2013-01-03,36125000000
2013-02-03,30270000000
2013-03-03,32565000000
2013-04-03,15460000000
2013-05-03,42095000000
2013-06-03,39925000000
2013-07-03,32355000000
2013-08-03,32010000000
2013-09-03,28415000000
2013-10-03,31955000000
2013-11-03,18845000000
2013-12-03,37280000000
2013-03-13,34065000000
2013-03-14,31280000000
2013-03-15,36965000000
2013-03-16,28650000000
2013-03-17,30405000000
2013-03-18,16535000000
2013-03-19,36910000000
2013-03-20,31605000000
